order_id,bank_to,amount3,k_symbol
29401,YZ,0,Household
29402,ST,1,Loan
29403,QR,2,Household
29404,WX,0,Household
29405,CD,0,Household
29406,AB,1,Insurance
29407,UV,0,Household
29408,UV,0,Household
29409,GH,0,Household
29410,AB,1,Household
29411,IJ,1,Household
29412,UV,0,Household
29413,IJ,2,Household
29414,UV,2,Household
29415,QR,0,Leasing
29416,ST,0,Household
29417,CD,0,Household
29418,KL,1,Household
29419,EF,0,Household
29420,WX,1,Household
29421,KL,1,Household
29422,EF,1,Household
29423,QR,0,Loan
29425,AB,0,Household
29426,YZ,2,Household
29427,ST,2,Household
29428,MN,1,Household
29429,IJ,0,Household
29430,QR,2,Household
29431,YZ,0,Loan
29432,IJ,2,Household
29433,AB,0,Household
29434,WX,0,Insurance
29435,EF,3,Household
29436,CD,1,Household
29439,ST,2,Household
29440,MN,0,Household
29441,UV,0,Insurance
29442,EF,0,Leasing
29443,ST,3,Household
29444,KL,1,Household
29445,WX,0,Leasing
29446,GH,0,Household
29447,IJ,2,Household
29448,MN,0,Household
29449,MN,0,Household
29450,CD,1,Household
29451,QR,1,Loan
29452,IJ,0,Household
29453,OP,0,Household
29454,YZ,0,Insurance
29455,QR,0,Loan
29456,EF,2,Household
29457,KL,0,Household
29458,OP,0,Insurance
29459,CD,0,Household
29460,WX,0,Household
29461,ST,0,Household
29462,MN,1,Household
29463,CD,1,Household
29464,KL,0,Household
29465,YZ,0,Insurance
29466,CD,2,Household
29467,GH,0,Household
29470,KL,2,Household
29471,KL,0,Household
29472,EF,0,Insurance
29473,UV,0,Household
29474,AB,2,Household
29475,ST,0,Household
29476,CD,1,Household
29477,WX,0,Household
29478,UV,2,Household
29479,KL,0,Household
29480,KL,0,Household
29481,EF,0,Household
29482,QR,1,Household
29483,MN,0,Household
29484,IJ,0,Household
29485,EF,1,Household
29486,KL,2,Household
29487,YZ,1,Household
29489,IJ,0,Household
29490,ST,2,Household
29493,EF,0,Household
29494,IJ,0,Household
29495,EF,0,Household
29496,CD,0,Household
29497,EF,0,Household
29498,YZ,0,Household
29499,CD,1,Household
29500,GH,1,Insurance
29501,GH,1,Leasing
29502,YZ,2,Loan
29503,YZ,2,Household
29504,UV,0,Household
29505,WX,0,Household
29506,IJ,0,Household
29507,ST,0,Insurance
29508,MN,0,Household
29509,KL,1,Household
29510,YZ,0,Household
29511,IJ,0,Household
29512,OP,0,Insurance
29513,QR,0,Household
29514,OP,0,Leasing
29515,EF,2,Household
29516,ST,0,Household
29517,CD,2,Household
29522,IJ,1,Household
29523,MN,1,Household
29524,ST,0,Leasing
29525,WX,3,Household
29526,CD,0,Household
29527,IJ,0,Household
29528,QR,0,Household
29529,MN,0,Household
29530,GH,0,Insurance
29531,AB,0,Household
29532,EF,1,Household
29533,ST,0,Leasing
29534,ST,4,Household
29535,IJ,1,Household
29536,OP,0,Leasing
29537,WX,0,Household
29538,MN,0,Household
29541,ST,0,Household
29542,ST,0,Household
29543,UV,0,Household
29544,MN,1,Insurance
29545,YZ,0,Household
29554,CD,1,Leasing
29555,QR,0,Household
29556,WX,0,Household
29557,EF,0,Insurance
29558,EF,0,Household
29559,ST,0,Household
29560,CD,0,Household
29561,ST,0,Insurance
29562,CD,0,Household
29563,MN,2,Loan
29564,CD,0,Household
29565,WX,0,Household
29566,CD,1,Household
29567,EF,1,Household
29568,UV,0,Household
29569,GH,2,Household
29570,KL,2,Household
29571,GH,0,Household
29572,EF,2,Loan
29573,KL,1,Household
29574,UV,0,Household
29575,MN,2,Loan
29576,MN,0,Household
29577,ST,0,Household
29578,UV,2,Loan
29579,WX,1,Household
29580,IJ,0,Household
29581,IJ,0,Household
29582,QR,0,Insurance
29583,CD,1,Household
29584,OP,1,Household
29585,YZ,0,Household
29586,ST,1,Loan
29589,AB,0,Household
29590,GH,1,Household
29591,QR,0,Household
29592,MN,0,Household
29593,EF,1,Household
29594,KL,1,Household
29595,ST,0,Leasing
29596,CD,0,Household
29597,IJ,0,Household
29598,ST,2,Household
29599,YZ,0,Leasing
29600,ST,1,Household
29601,YZ,0,Household
29602,UV,0,Household
29603,MN,0,Insurance
29604,KL,1,Household
29605,IJ,0,Household
29606,OP,0,Household
29607,OP,0,Insurance
29608,IJ,1,Leasing
29609,WX,2,Household
29610,YZ,0,Household
29611,IJ,1,Household
29612,IJ,1,Household
29613,UV,2,Household
29614,WX,2,Loan
29615,OP,1,Leasing
29616,EF,1,Household
29617,CD,1,Household
29618,MN,0,Household
29619,GH,1,Household
29620,UV,0,Household
29621,KL,1,Leasing
29622,KL,1,Household
29623,WX,0,Household
29624,GH,2,Insurance
29625,YZ,0,Household
29626,YZ,0,Household
29627,GH,1,Household
29628,AB,1,Household
29631,KL,0,Household
29632,GH,0,Household
29633,QR,0,Insurance
29634,QR,0,Household
29635,KL,0,Household
29636,OP,0,Household
29637,OP,1,Household
29638,UV,1,Household
29639,MN,1,Household
29640,KL,1,Household
29641,QR,0,Household
29642,AB,1,Household
29643,ST,1,Household
29644,GH,2,Household
29645,QR,0,Household
29646,ST,1,Household
29647,GH,0,Household
29648,WX,0,Household
29649,GH,1,Household
29650,UV,1,Household
29651,IJ,0,Household
29652,OP,0,Household
29653,QR,1,Household
29654,WX,0,Household
29655,IJ,1,Household
29656,KL,0,Leasing
29657,UV,1,Household
29658,OP,1,Household
29659,KL,2,Household
29660,KL,0,Household
29661,CD,0,Insurance
29662,CD,0,Household
29663,UV,2,Loan
29664,QR,0,Household
29667,GH,0,Loan
29668,AB,1,Household
29669,OP,0,Household
29670,QR,0,Insurance
29671,OP,0,Household
29672,ST,0,Household
29673,UV,2,Household
29674,IJ,0,Household
29675,AB,0,Insurance
29676,OP,1,Household
