transaction_id,type,operation,amount2,balance
289,Credit,Collection,0,0
290,Credit,Collection,0,0
291,Credit,Collection,0,0
292,Credit,Collection,0,0
293,Credit,Collection,0,0
294,Credit,Collection,1,0
295,Credit,Collection,0,0
296,Credit,Collection,0,0
297,Credit,Collection,0,0
298,Credit,Collection,0,0
299,Credit,Collection,0,0
300,Credit,Collection,1,0
301,Credit,Collection,0,0
302,Credit,Collection,0,0
303,Credit,Collection,0,0
304,Credit,Collection,0,0
305,Credit,Collection,0,0
306,Credit,Collection,1,0
307,Credit,Collection,0,0
308,Credit,Collection,0,0
309,Credit,Collection,0,0
310,Credit,Collection,0,0
311,Credit,Collection,0,0
312,Credit,Collection,1,1
313,Credit,Collection,0,0
314,Credit,Collection,0,0
315,Credit,Collection,0,0
316,Credit,Collection,0,0
317,Credit,Collection,0,0
318,Credit,Collection,1,0
319,Credit,Collection,0,1
320,Credit,Collection,0,0
321,Credit,Collection,0,0
322,Credit,Collection,0,0
323,Credit,Collection,0,1
324,Credit,Collection,1,1
325,Credit,Collection,0,0
326,Credit,Collection,0,0
327,Credit,Collection,0,0
328,Credit,Collection,0,1
329,Credit,Collection,0,1
330,Credit,Collection,1,1
331,Credit,Collection,0,0
332,Credit,Collection,0,0
333,Credit,Collection,0,0
334,Credit,Collection,0,1
335,Credit,Collection,0,0
336,Credit,Collection,1,1
337,Credit,Collection,0,0
338,Credit,Collection,0,0
339,Credit,Collection,0,0
340,Credit,Collection,0,0
341,Credit,Collection,0,0
342,Credit,Collection,1,1
343,Credit,Collection,0,1
344,Credit,Collection,0,1
345,Credit,Collection,0,1
346,Credit,Collection,0,1
347,Credit,Collection,0,1
348,Credit,Collection,1,1
361,Withdrawal,Remittance,0,0
362,Withdrawal,Remittance,0,0
363,Withdrawal,Remittance,0,0
364,Withdrawal,Remittance,0,0
365,Withdrawal,Remittance,0,0
366,Withdrawal,Remittance,0,0
367,Withdrawal,Remittance,0,0
368,Withdrawal,Remittance,0,0
369,Withdrawal,Remittance,0,0
370,Withdrawal,Remittance,0,0
371,Withdrawal,Remittance,0,0
372,Withdrawal,Remittance,0,0
373,Withdrawal,Remittance,0,0
374,Withdrawal,Remittance,0,0
375,Withdrawal,Remittance,0,0
376,Withdrawal,Remittance,0,0
377,Withdrawal,Remittance,0,0
378,Withdrawal,Remittance,0,0
379,Withdrawal,Remittance,0,0
380,Withdrawal,Remittance,0,0
381,Withdrawal,Remittance,0,0
382,Withdrawal,Remittance,0,0
383,Withdrawal,Remittance,0,0
384,Withdrawal,Remittance,0,1
385,Withdrawal,cw,0,0
386,Withdrawal,cw,0,0
387,Withdrawal,cw,0,0
388,Withdrawal,cw,0,0
389,Withdrawal,cw,0,0
390,Withdrawal,cw,0,0
391,Withdrawal,cw,0,1
392,Withdrawal,cw,0,0
393,Withdrawal,cw,0,0
394,Withdrawal,cw,0,0
395,Withdrawal,cw,0,0
396,Withdrawal,cw,0,0
397,Withdrawal,cw,0,0
398,Withdrawal,cw,0,0
399,Withdrawal,cw,0,0
400,Withdrawal,cw,0,1
401,Withdrawal,cw,0,1
402,Withdrawal,cw,0,1
403,Withdrawal,cw,0,0
404,Withdrawal,cw,0,0
405,Withdrawal,cw,0,0
406,Withdrawal,cw,0,0
407,Withdrawal,cw,0,0
408,Withdrawal,cw,0,1
409,Withdrawal,cw,0,0
410,Withdrawal,cw,0,0
411,Withdrawal,cw,0,0
412,Withdrawal,cw,0,0
413,Withdrawal,cw,0,0
414,Withdrawal,cw,0,1
415,Withdrawal,cw,0,0
416,Withdrawal,cw,0,0
417,Withdrawal,cw,0,0
418,Withdrawal,cw,0,0
419,Withdrawal,cw,0,0
420,Withdrawal,cw,0,0
433,Withdrawal,Remittance,0,0
434,Withdrawal,Remittance,0,0
435,Withdrawal,Remittance,0,0
436,Withdrawal,Remittance,0,0
437,Withdrawal,Remittance,0,0
438,Withdrawal,Remittance,0,0
439,Withdrawal,Remittance,0,0
440,Withdrawal,Remittance,0,0
441,Withdrawal,Remittance,0,0
442,Withdrawal,Remittance,0,0
443,Withdrawal,Remittance,0,0
444,Withdrawal,Remittance,0,0
445,Withdrawal,Remittance,0,0
446,Withdrawal,Remittance,0,0
447,Withdrawal,Remittance,0,0
448,Withdrawal,Remittance,0,0
449,Withdrawal,Remittance,0,0
450,Withdrawal,Remittance,0,0
451,Withdrawal,Remittance,0,0
452,Withdrawal,Remittance,0,0
453,Withdrawal,Remittance,0,0
454,Withdrawal,Remittance,0,0
455,Withdrawal,Remittance,0,0
456,Withdrawal,Remittance,0,0
457,Withdrawal,Remittance,0,0
458,Withdrawal,Remittance,0,0
459,Withdrawal,Remittance,0,0
460,Withdrawal,Remittance,0,0
461,Withdrawal,Remittance,0,0
462,Withdrawal,Remittance,0,0
463,Withdrawal,Remittance,0,0
464,Withdrawal,Remittance,0,0
465,Withdrawal,Remittance,0,0
466,Withdrawal,Remittance,0,0
467,Withdrawal,Remittance,0,0
468,Withdrawal,Remittance,0,0
469,Withdrawal,Remittance,0,0
470,Withdrawal,Remittance,0,0
471,Withdrawal,Remittance,0,0
472,Withdrawal,Remittance,0,0
473,Withdrawal,Remittance,0,0
474,Withdrawal,Remittance,0,0
475,Withdrawal,Remittance,0,0
476,Withdrawal,Remittance,0,0
477,Withdrawal,Remittance,0,0
478,Withdrawal,Remittance,0,0
479,Withdrawal,Remittance,0,0
480,Withdrawal,Remittance,0,0
481,Withdrawal,Remittance,0,0
482,Withdrawal,Remittance,0,0
483,Withdrawal,Remittance,0,0
484,Withdrawal,Remittance,0,0
485,Withdrawal,Remittance,0,0
486,Withdrawal,Remittance,0,0
487,Withdrawal,Remittance,0,0
488,Withdrawal,Remittance,0,0
489,Withdrawal,Remittance,0,0
490,Withdrawal,Remittance,0,0
491,Withdrawal,Remittance,0,0
492,Withdrawal,Remittance,0,0
503,VYBER,cw,0,0
508,VYBER,cw,0,0
509,VYBER,cw,0,0
510,VYBER,cw,0,0
512,VYBER,cw,0,0
513,VYBER,cw,0,0
514,VYBER,cw,0,0
517,VYBER,cw,1,0
